OBJECTID,FID_MZGE61FL,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,created_user,created_date,last_edited_user,last_edited_date,FID_FTF_ZOI,OBJECTID_1,Distrito,FIRST_DIST,Province,Shape_Leng
95,268,MZ201100000269,MZ,"2,011.000000000000000",269.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.811499108000000,34.423640026000001,"9,999.000000000000000","1,291.000000000000000",WGS84,,,,,25,25.000000000000000,TSANGANO,TSANGANO,Tete,"319,143.059713000020000"
96,232,MZ201100000233,MZ,"2,011.000000000000000",233.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.712342051000000,34.257633398999999,"9,999.000000000000000","1,172.000000000000000",WGS84,,,,,3,3.000000000000000,ANGONIA,ANGONIA,Tete,"330,474.535803999980000"
97,230,MZ201100000231,MZ,"2,011.000000000000000",231.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,U,-14.710204429999999,34.342651588999999,"9,999.000000000000000","1,279.000000000000000",WGS84,,,,,3,3.000000000000000,ANGONIA,ANGONIA,Tete,"330,474.535803999980000"
98,128,MZ201100000129,MZ,"2,011.000000000000000",129.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,R,-14.591947105999999,38.751752181000001,"9,999.000000000000000",516.000000000000000,WGS84,,,,,16,16.000000000000000,MECUBURI,MECUBURI,Nampula,"386,806.081943000030000"
99,250,MZ201100000251,MZ,"2,011.000000000000000",251.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.652927482000001,33.689455406000000,"9,999.000000000000000","1,357.000000000000000",WGS84,,,,,11,11.000000000000000,MACANGA,MACANGA,Tete,"504,695.225297999980000"
100,233,MZ201100000234,MZ,"2,011.000000000000000",234.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.627883711999999,34.256072029000002,"9,999.000000000000000","1,178.000000000000000",WGS84,,,,,3,3.000000000000000,ANGONIA,ANGONIA,Tete,"330,474.535803999980000"
101,234,MZ201100000235,MZ,"2,011.000000000000000",235.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.599254095999999,34.462291749000002,"9,999.000000000000000","1,376.000000000000000",WGS84,,,,,3,3.000000000000000,ANGONIA,ANGONIA,Tete,"330,474.535803999980000"
102,237,MZ201100000238,MZ,"2,011.000000000000000",238.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.556646298000000,34.150142660999997,"9,999.000000000000000","1,270.000000000000000",WGS84,,,,,3,3.000000000000000,ANGONIA,ANGONIA,Tete,"330,474.535803999980000"
103,235,MZ201100000236,MZ,"2,011.000000000000000",236.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.546841841999999,34.048317957999998,"9,999.000000000000000","1,224.000000000000000",WGS84,,,,,3,3.000000000000000,ANGONIA,ANGONIA,Tete,"330,474.535803999980000"
104,238,MZ201100000239,MZ,"2,011.000000000000000",239.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.524886989000001,33.911960600000000,"9,999.000000000000000","1,206.000000000000000",WGS84,,,,,3,3.000000000000000,ANGONIA,ANGONIA,Tete,"330,474.535803999980000"
105,236,MZ201100000237,MZ,"2,011.000000000000000",237.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.498672793000001,34.229018027999999,"9,999.000000000000000","1,338.000000000000000",WGS84,,,,,3,3.000000000000000,ANGONIA,ANGONIA,Tete,"330,474.535803999980000"
106,231,MZ201100000232,MZ,"2,011.000000000000000",232.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.392828457000000,34.353195251000002,"9,999.000000000000000","1,622.000000000000000",WGS84,,,,,3,3.000000000000000,ANGONIA,ANGONIA,Tete,"330,474.535803999980000"
107,129,MZ201100000130,MZ,"2,011.000000000000000",130.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,R,-14.212540792000000,38.735158040000002,"9,999.000000000000000",367.000000000000000,WGS84,,,,,16,16.000000000000000,MECUBURI,MECUBURI,Nampula,"386,806.081943000030000"
